PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
147155,2527,I,"2022-11-28 09:01:13","Benefit Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:13","2022-11-28 09:01:13",event_scheduler@localhost
147156,2527,S,"2022-11-28 09:01:13","Employee Address Refresh",event_scheduler@localhost,"2022-11-28 09:01:13","2022-11-28 09:01:13",event_scheduler@localhost
147157,2527,S,"2022-11-28 09:01:13","Ex-Employee Address Refresh",event_scheduler@localhost,"2022-11-28 09:01:13","2022-11-28 09:01:13",event_scheduler@localhost
147158,2527,I,"2022-11-28 09:01:13","Address Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:13","2022-11-28 09:01:13",event_scheduler@localhost
147159,2527,I,"2022-11-28 09:01:13","Appraisal Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:13","2022-11-28 09:01:13",event_scheduler@localhost
147160,2527,I,"2022-11-28 09:01:15","Employment History Completed",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147161,2527,I,"2022-11-28 09:01:15","Refresh NHRDW_EMPLOYEE_EDUCATION - Started",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147162,2527,I,"2022-11-28 09:01:15","Refresh NHRDW_EMPLOYEE_HIGH_EDUCATION - Started",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147163,2527,I,"2022-11-28 09:01:15","Education Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147164,2527,I,"2022-11-28 09:01:15","GSA LMS OUT Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147165,2527,I,"2022-11-28 09:01:15","Refresh QMS Error Checking Started",event_scheduler@localhost,"2022-11-28 09:01:15","2022-11-28 09:01:15",event_scheduler@localhost
147166,2527,I,"2022-11-28 09:01:16","Refresh QMS Error Checking Completed",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147167,2527,I,"2022-11-28 09:01:16","Latest Transaction Control ID Refresh Started",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147168,2527,I,"2022-11-28 09:01:16","Latest Transaction Control ID Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147169,2527,I,"2022-11-28 09:01:16","Latest Transaction Control ID Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147170,2527,S,"2022-11-28 09:01:16","Snapshot Process Successfully Completed for Business Set :GSA03",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147171,-20001,C,"2022-11-28 09:01:16","Snapshot Process Main Successfully Completed",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147172,-20001,I,"2022-11-28 09:01:16","QMS Update All Error Tables Started",event_scheduler@localhost,"2022-11-28 09:01:16","2022-11-28 09:01:16",event_scheduler@localhost
147173,-20001,I,"2022-11-28 09:01:39","QMS Update All Error Tables Completed",event_scheduler@localhost,"2022-11-28 09:01:39","2022-11-28 09:01:39",event_scheduler@localhost
147174,-20001,I,"2022-11-28 09:01:39","TL Payable Time Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:39","2022-11-28 09:01:39",event_scheduler@localhost
147175,-5001,I,"2022-11-28 09:06:01","NHRDW_TL_PAYABLE_TIME - Rows Deleted: 147998",event_scheduler@localhost,"2022-11-28 09:06:01","2022-11-28 09:06:01",event_scheduler@localhost
147176,-5001,I,"2022-11-28 09:08:14","NHRDW_TL_PAYABLE_TIME - Rows Inserted: 147998",event_scheduler@localhost,"2022-11-28 09:08:14","2022-11-28 09:08:14",event_scheduler@localhost
147177,-5001,I,"2022-11-28 09:09:01","NHRDW_UNPUB_TL_PAYABLE_TIME - Rows Inserted: 82399",event_scheduler@localhost,"2022-11-28 09:09:01","2022-11-28 09:09:01",event_scheduler@localhost
147178,-5001,I,"2022-11-28 09:14:22","nhrdw_tl_rptd_time - Rows Deleted: 152094",event_scheduler@localhost,"2022-11-28 09:14:22","2022-11-28 09:14:22",event_scheduler@localhost
147179,-5001,I,"2022-11-28 09:16:10","nhrdw_tl_rptd_time - Rows Inserted: 152255",event_scheduler@localhost,"2022-11-28 09:16:10","2022-11-28 09:16:10",event_scheduler@localhost
147180,-5001,S,"2022-11-28 09:16:10","Employee Payable Time Process Successfully Completed",event_scheduler@localhost,"2022-11-28 09:16:10","2022-11-28 09:16:10",event_scheduler@localhost
