PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
155109,-1,I,"2022-11-28 07:31:13","Process Step 30 : Master Control CursorGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:31:13","2022-11-28 07:31:13",event_scheduler@localhost
155110,-1,I,"2022-11-28 07:31:13","Process Step 40 : Master Control CursorGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:31:13","2022-11-28 07:31:13",event_scheduler@localhost
155111,-1,I,"2022-11-28 07:32:04","Process Step 50 : Master Control CompletedGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:32:04","2022-11-28 07:32:04",event_scheduler@localhost
155112,-1,I,"2022-11-28 07:32:04","Process Step 60 : Snapshot Control CompletedGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:32:04","2022-11-28 07:32:04",event_scheduler@localhost
155113,2454,I,"2022-11-28 07:32:06","Location Refresh Completed",event_scheduler@localhost,"2022-11-28 07:32:06","2022-11-28 07:32:06",event_scheduler@localhost
155114,2454,I,"2022-11-28 07:32:10","Organization Refresh Completed",event_scheduler@localhost,"2022-11-28 07:32:10","2022-11-28 07:32:10",event_scheduler@localhost
155115,2454,I,"2022-11-28 07:32:47","Organization Hierarchy Refresh Completed",event_scheduler@localhost,"2022-11-28 07:32:47","2022-11-28 07:32:47",event_scheduler@localhost
155116,2454,S,"2022-11-28 07:48:34","Employee Person Refresh Completed",event_scheduler@localhost,"2022-11-28 07:48:34","2022-11-28 07:48:34",event_scheduler@localhost
155117,2454,S,"2022-11-28 07:54:59","Ex-Employee Person Refresh Phase I Completed",event_scheduler@localhost,"2022-11-28 07:54:59","2022-11-28 07:54:59",event_scheduler@localhost
155118,2454,S,"2022-11-28 07:55:09","Ex-Employee Person Refresh Phase II Completed",event_scheduler@localhost,"2022-11-28 07:55:09","2022-11-28 07:55:09",event_scheduler@localhost
155119,2454,S,"2022-11-28 07:55:11","Ex-Employee Person Refresh Phase III Completed",event_scheduler@localhost,"2022-11-28 07:55:11","2022-11-28 07:55:11",event_scheduler@localhost
